Data/Hora Inclusão,Data/Hora Evento,GNSS UTC Time,MS GNSS UTC Time,IMEI,Sequência,Tipo Mensagem,Máscara Report,Máscara ERI,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,MS Satellite Number,Duração da Ignição,Precisão GNSS,MS GNSS Accuracy,Velocidade,Max Speed,Azimuth,MS Azimuth,Altitude,MS Altitude,Latitude,MS Latitude,Longitude,MS Longitude,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,MS Mileage,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On,ID,ID Report Type,Comando Customizado,Battery Status,Backup Battery Voltage,Network Type,RAT,Band,IGN Trigger Data,GNSS Trigger Type,Position Report Type,GNSS Signal Status
2025-09-29 12:06:57,,,,867488068342780,4200,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-29 12:08:47,,,,867488068342780,4201,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-29 12:08:47,2025-09-29 12:08:47,2025-09-29 07:57:16,2025-09-28 16:04:32,867488068342780,4203,GTIGN,0x19fe7fbf,,802003,0x8303,0x0115,100,12279,0000,0000,01,00,22,12,12,15130,00,01,0.0,95.4,357,284,547,582,-23.328049,-23.321104,-51.178313,-51.204733,0724,0006,c4a7,07a71434,0.0,0.0,2246.4,0:00:00,59:13:34,-,-,0,-,,,,,,,,,,
2025-09-29 12:08:47,2025-09-29 12:08:47,2025-09-29 07:57:16,2025-09-29 07:57:16,867488068342780,4204,GTSTT,0x19fe7fbf,,802003,0x8303,0x0115,100,12279,0000,0000,01,00,22,12,12,-,00,00,0.0,0.0,357,357,547,547,-23.328049,-23.328049,-51.178313,-51.178313,0724,0006,c4a7,07a71434,0.0,0.0,0.0,0:00:00,59:13:34,-,-,0,-,,,,,,,,,,
2025-09-29 12:09:33,2025-09-29 12:09:33,2025-09-29 12:09:33,2025-09-29 12:09:33,867488068342780,4205,GTERI,0x19fe3fbf,0x00028102,802003,0x8303,0x0115,100,14394,0000,-,01,00,22,12,12,-,01,01,6.2,6.2,182,182,585,585,-23.329767,-23.329767,-51.177494,-51.177494,0724,0006,c4a7,07a71434,0.2,0.2,0.2,0:00:45,59:14:19,-,-,0,-,,,,,04,28,00000000,00,10,
2025-09-29 12:09:33,2025-09-29 12:09:33,2025-09-29 12:09:33,2025-09-29 12:09:33,867488068342780,4206,GTIGL,0x19fe7fbf,,802003,0x8303,0x0115,100,14394,0000,0000,01,00,22,12,12,-,01,01,6.2,6.2,182,182,585,585,-23.329767,-23.329767,-51.177494,-51.177494,0724,0006,c4a7,07a71434,0.2,0.2,0.2,0:00:45,59:14:19,-,-,0,-,,,,,,,,,00,
2025-09-29 12:10:58,,,,867488068342780,4208,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-29 12:11:54,2025-09-29 12:11:54,2025-09-29 12:11:53,2025-09-29 12:10:31,867488068342780,4210,GTERI,0x19fe3fbf,0x00028102,802003,0x8303,0x0115,100,14208,0000,-,01,00,22,12,12,-,01,01,7.5,43.6,181,182,604,587,-23.334347,-23.331487,-51.177578,-51.177504,0724,0006,c4a7,07a6d817,0.7,0.7,0.4,0:03:06,59:16:40,-,-,0,-,,,,,04,3,00000000,00,10,
2025-09-29 12:12:52,,,,867488068342780,4211,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-29 12:12:52,,,,867488068342780,4213,ACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
