Data/Hora Inclusão,Data/Hora Evento,GNSS UTC Time,MS GNSS UTC Time,IMEI,Sequência,Tipo Mensagem,Máscara Report,Máscara ERI,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,MS Satellite Number,Duração da Ignição,Precisão GNSS,MS GNSS Accuracy,Velocidade,Max Speed,Azimuth,MS Azimuth,Altitude,MS Altitude,Latitude,MS Latitude,Longitude,MS Longitude,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,MS Mileage,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On,ID,ID Report Type,Comando Customizado,Battery Status,Backup Battery Voltage,Network Type,RAT,Band,IGN Trigger Data,GNSS Trigger Type,Position Report Type,GNSS Signal Status,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 07:45:14,,,,867488067677285,517,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 07:47:14,,,,867488067677285,518,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 07:49:15,,,,867488067677285,519,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 07:51:15,,,,867488067677285,520,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 07:53:16,,,,867488067677285,521,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 07:55:16,,,,867488067677285,522,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 07:57:17,,,,867488067677285,523,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 07:59:17,,,,867488067677285,524,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 08:00:10,2025-10-09 08:00:11,2025-10-09 07:57:45,2025-10-09 07:57:45,867488067677285,525,GTERI,0x19fe3fbf,0x00028102,802003,0x8303,0x0115,0,12479,0000,-,00,00,11,6,6,-,01,01,0.0,0.0,4,4,634,634,-23.296407,-23.296407,-51.201409,-51.201409,0724,0005,a053,0690101d,0.0,0.0,0.0,0:00:45,0:43:42,-,-,0,-,,,,,04,1,00000000,00,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 08:00:36,2025-10-09 08:00:36,2025-10-09 07:57:45,2025-10-08 17:29:23,867488067677285,527,GTIGN,0x19fe7fbf,,802003,0x8303,0x0115,0,12358,0000,0000,01,00,22,6,12,50720,00,01,0.0,5.2,4,30,634,623,-23.296407,-23.296456,-51.201409,-51.201419,0724,0005,a053,0690101d,0.0,0.0,2.1,0:00:00,0:43:42,-,-,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 08:00:36,2025-10-09 08:00:36,2025-10-09 07:57:45,2025-10-09 07:57:45,867488067677285,528,GTSTT,0x19fe7fbf,,802003,0x8303,0x0115,0,12358,0000,0000,01,00,22,6,6,-,00,00,0.0,0.0,4,4,634,634,-23.296407,-23.296407,-51.201409,-51.201409,0724,0005,a053,0690101d,0.0,0.0,0.0,0:00:00,0:43:42,-,-,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 08:00:51,2025-10-09 08:00:52,2025-10-09 08:00:51,2025-10-09 08:00:51,867488067677285,529,GTERI,0x19fe3fbf,0x00028102,802003,0x8303,0x0115,0,13959,0000,-,01,00,22,6,6,-,01,01,0.0,0.0,4,4,629,629,-23.296378,-23.296378,-51.201481,-51.201481,0724,0005,a053,0690101d,0.0,0.0,0.0,0:00:15,0:43:57,-,-,0,-,,,,,04,1,00000000,00,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 08:00:51,2025-10-09 08:00:52,2025-10-09 08:00:51,2025-10-09 08:00:51,867488067677285,530,GTIGL,0x19fe7fbf,,802003,0x8303,0x0115,0,13959,0000,0000,01,00,22,6,6,-,01,01,0.0,0.0,4,4,629,629,-23.296378,-23.296378,-51.201481,-51.201481,0724,0005,a053,0690101d,0.0,0.0,0.0,0:00:15,0:43:57,-,-,0,-,,,,,,,,,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 08:01:06,,,,867488067677285,531,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 08:01:06,2025-10-09 08:01:07,2025-10-09 08:01:06,2025-10-09 08:01:06,867488067677285,532,GTIGF,0x19fe7fbf,,802003,0x8303,0x0115,0,13946,0000,0000,00,00,12,7,7,31,01,01,0.8,0.8,4,4,630,630,-23.296388,-23.296388,-51.201468,-51.201468,0724,0005,a053,0690101d,0.0,0.0,0.0,0:00:30,0:44:12,-,-,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
